Question Number,Answer
1,3.308
2,648.972
3,5.875
4,1.0
5,12.139
6,-5.763
7,-110.389
8,84.175
9,10.503
10,-0.5899999999999999
11,17
12,0.7429999999999999
13,2.186
14,1101.334272
15,33.475750000000005
16,1
17,-1378.562
18,11.156994000000001
19,124.248
20,7.076004
21,-1.9687875150060024
22,9.570761494252874
23,0.2544529262086514
24,1
25,1
26,1.496
27,6.21
28,-81.321
29,-11.615
30,6.065
31,-694.656
32,11.665999999999999
33,3.513
34,-0.2958579881656805
35,1.789
36,49.97932
37,-1.969
38,-7.099
39,10.703999999999999
40,0.22070183182520417
41,5.562
42,60.60457
43,235.703
44,12.158
45,19.182
46,5.024
47,-7.948501
48,1
49,2.4370000000000003
50,5.829
51,1.987
52,39.317
53,13.183
54,27.298
55,2.2284063260340634
56,-1.044
57,1
58,9.946000000000002
59,62.197
60,6.171
61,0.11512779184895233
62,-7.949
63,64.137
64,-2260.411
65,41.607768829938415
66,9.335924932975871
67,143.721
68,7.722
69,3.244
70,2.174
71,7.012
72,171.600444
73,175.668
74,0.46899999999999986
75,1.0
76,1
77,0.0
78,5.376
79,1
80,4.056081849185298
81,7.0117964273677105
82,3.95
83,-23.585
84,8.558
85,-21.802999999999997
86,-1
87,0.9196148210173749
88,370.340274
89,11.127
90,0.22820629849383844
91,8.639
92,1.604
93,15.075
94,6.857954545454545
95,-25.331964720194648
96,-47.24090699999999
97,0.10099999999999998
98,1.4435698329964897
99,1.282
100,-243.561
101,1.311
102,62.196906
103,1.273
104,1.5216846719899797
105,5.853
106,4.093
107,6.21
108,0.4650000000000003
109,1.7100426953777614
110,1.27
111,10.277132
112,20.519
113,-0.19799999999999995
114,-175.179
115,-53.695
116,1.339900969671962
117,128.639
118,3.616999999999998
119,-2.328315
120,26.353
121,9.946
122,-2.778
123,4.136
124,-21.803
125,-295.487
126,19.572
127,3.1210000000000004
128,6.489000000000001
129,4.82
130,26.231125000000002
131,-158.001609
132,71.572
133,1.0
134,6.646000000000001
135,-12.993152000000002
136,1.918
137,-30.045
138,1
139,25.418454
140,1
141,-4.189
142,45.983
143,3.244
144,15.541
145,-4.495
146,14.74942
147,0.20703933747412007
148,5.269
149,-17.934849715678308
150,-0.48100000000000165
151,36.63799899999999
152,-2.249
153,7.868
154,369.96299999999997
155,1
156,32.803
157,9.718902
158,3.2439999999999998
159,15.541103780500578
160,8.657
161,-0.6814658210007046
162,1.298654056020371
163,-2.606
164,0.38733705772811916
165,1
166,-38.261
167,44.523
168,0.0
169,0.14040999719180006
170,0.34458993797381116
171,1.6580000000000013
172,-5.231
173,4.17
174,-23.584524999999996
175,14.78
176,71.557
177,-152.192
178,1.3299979987992798
179,3421.28
180,1
181,0.13408759941749748
182,-158.002
183,11.89
184,65.683
185,5.623
186,7.495
187,69.822
188,8.809
189,5.23
190,9.912
191,3199.3672599999995
192,7.327
193,2.4370000000000003
194,1.0
195,11.341
196,-0.2190000000000003
197,-17.111
198,8.809000000000001
199,-3.504
200,13.571
201,9.145
202,9.846
203,-12.993
204,3.448
205,1.85
206,-0.2514253773057574
207,1.621
208,8.978
209,1.273
210,8.786
211,3.0290000000000017
212,5.613
213,-0.13460761879122357
214,1.514
215,8.408
216,-18.803
217,4.934
218,79.791
219,11.995
220,5.142
221,0.643
222,304.576
223,5.038
224,-18.389784000000002
225,0.537
226,40.031
227,1.6948040000000002
228,-26.103
229,7.284999999999999
230,49.979
231,7.673000000000002
232,9.766
233,0.5367517605633804
234,2.243
235,124.24779400000001
236,-8.241
237,64.664638
238,455.491
239,-2262.881
240,0.022999999999999687
241,2.5470798569725863
242,0.14172972972972972
243,1.788555626462455
244,1
245,31.222552537160432
246,12.158
247,1.1935942141288907
248,1.424
249,-11.418
250,27.489
251,9.336
252,-4.189245
253,-3.826249188838417
254,-295.486659
255,0.09600000000000009
256,0.9950753618862858
257,53.084999999999994
258,0.2150000000000012
259,2.035
260,7.455
261,-3.826
262,0.7000000000000011
263,5.829
264,1
265,1.1439999999999957
266,-1
267,0.08499999999999996
268,11.251000000000001
269,1
270,7.05
271,8.901
272,-788.868985
273,-9.480999999999998
274,80.714
275,1
276,-641.7936639999999
277,-39.034
278,1.194
279,0.10692899914456801
280,1.658
281,6.182
282,9.749781
283,-1
284,1.629
285,2.887
286,0.16789791806581597
287,0.0
288,1.0
289,-3.8966163456533054
290,0.5469999999999999
291,1
292,1.2190000000000598
293,0.17499999999999982
294,1.417
295,7.013
296,-3.645
297,2.651404786680541
298,1
299,0.7699562142135399
300,-9.069
301,7.076
302,0.14102383302778168
303,4.891000000000005
304,1101.334
305,8.408000000000001
306,1
307,3.7982759999999995
308,109.633
309,1.0
310,1.0350000000000001
311,-5534.9264299999995
312,9.13029
313,69.646
314,3.146
315,2.228
316,1.2699999999999996
317,0.5204301075268817
318,5.230000000000032
319,17.116284999999998
320,6.198
321,0.7
322,31.223
323,-3.8827887152425418
324,5.523
325,-18.39
326,2.21
327,0.1837897445322551
328,-3.657
329,11.428
330,0.1808782231299464
331,80.829516
332,8.745
333,5.522999999999994
334,-79.435
335,235.703475
336,3.4479999999998885
337,-109.22
338,0.096
339,6.299
340,-1
341,0.9059999999999988
342,-2.446
343,32.802616
344,2.225
345,2.478
346,1.638
347,8.543
348,0.10594342621040365
349,10.277
350,6.182
351,0.9430000000000014
352,1.299
353,8.015999999999998
354,29.805960000000002
355,7.762
356,8.742
357,10.938194837007725
358,-3.631999999999998
359,30.061595
360,0.43
361,80.714
362,175.717
363,-0.8060000000000003
364,1.649000000000001
365,4886.7339999999995
366,455.49074601366743
367,1.464940939934657
368,2.165510864539991
369,4.104
370,1
371,-0.757
372,0.1608029582673006
373,2
374,0.5920000000000001
375,89.468
376,-160.899
377,3.617
378,77.879
379,29.494
380,1.588
381,8.121668
382,-48469.346982
383,9.13
384,2.651
385,-0.7462981243830207
386,-14.051999999999998
387,5.6233759999999995
388,5.346
389,4.106
390,22.919
391,1.818
392,0.993
393,1.451
394,0.7561739130434783
395,7.05
396,25.354
397,-641.794
398,176.34250800000004
399,1
400,9.242
401,6.716772823779193
402,3.978999999999999
403,1.0461113472163195
404,-53.695
405,-109.219513
406,1.9160000000000017
407,1.144
408,0.42599999999999927
409,1.0
410,1
411,-48469.347
412,12.004193927193423
413,2275.712465
414,45.346999999999994
415,0.45599999999999996
416,5.034257120862202
417,1.33
418,1
419,1.4172406131970672
420,8.842
421,11.157
422,13.186
423,3.146
424,0.764
425,335.956032
426,-11.291999999999998
427,12.575
428,9.368208
429,1
430,8.801
431,-2260.411
432,0
433,3.3450000000000006
434,22.472
435,-1
436,0.993
437,2.317
438,1.0
439,1.0
440,-3.883
441,-69.477
442,13.182674999999996
443,2275.712
444,0.15297537096527458
445,5.558
446,-9.068999999999999
447,0.3563791874554526
448,0.9979690005344736
449,2.478
450,1.71
451,-295.211
452,1.6380000000000003
453,7.05
454,-1
455,69.82243400000002
456,1
457,71.85668
458,10.819999999999999
459,-7.829
460,1.0
461,1.465
462,0.10882576994232235
463,1.695
464,7.306
465,-1.0437032144429765
466,31.636
467,-43.17390699999999
468,-79.43498500000001
469,99.61639199999999
470,1.04
471,8.548
472,1.0
473,-164.34
474,1
475,15.141
476,1
477,3.798
478,1
